AAC_1_.3000317.HM036080.131_596.51 Made AAC_1_.3000317.HM036080.131_596.51 into gene. strand=+, frame=0
AAC_2___Ia.3002523.L06156.263_800.53 Made AAC_2___Ia.3002523.L06156.263_800.53 into gene. strand=+, frame=0
AAC_2___Ib.3002524.U41471.264_852.85 Made AAC_2___Ib.3002524.U41471.264_852.85 into gene. strand=+, frame=0
AAC_2___Ic.3002525.AL123456.314308_314854.226 Made AAC_2___Ic.3002525.AL123456.314308_314854.226 into gene. strand=-, frame=1
AAC_2___Id.3002526.U72743.385_1018.228 Made AAC_2___Id.3002526.U72743.385_1018.228 into gene. strand=+, frame=0
AAC_3__IIIa.3002536.X55652.1123_1939.6 Made AAC_3__IIIa.3002536.X55652.1123_1939.6 into gene. strand=+, frame=0
AAC_3__IIIb.3002537.L06160.983_1721.188 Made AAC_3__IIIb.3002537.L06160.983_1721.188 into gene. strand=+, frame=0
AAC_3__IIIc.3002538.L06161.105_945.9 Made AAC_3__IIIc.3002538.L06161.105_945.9 into gene. strand=+, frame=0
AAC_3__IIa.3002533.X13543.185_1046.620 Made AAC_3__IIa.3002533.X13543.185_1046.620 into gene. strand=+, frame=0
AAC_3__IIb.3002534.M97172.655_1465.10 Made AAC_3__IIb.3002534.M97172.655_1465.10 into gene. strand=+, frame=0
AAC_3__IIc.3002535.X54723.818_1679.616 Made AAC_3__IIc.3002535.X54723.818_1679.616 into gene. strand=+, frame=0
AAC_3__IV.3002539.DQ241380.1.0_777.3715 Made AAC_3__IV.3002539.DQ241380.1.0_777.3715 into gene. strand=+, frame=0
AAC_3__IXa.3002543.M55427.273_1119.655 Made AAC_3__IXa.3002543.M55427.273_1119.655 into gene. strand=+, frame=0
AAC_3__Ia.3002528.U12338.5055_5520.3369 Made AAC_3__Ia.3002528.U12338.5055_5520.3369 into gene. strand=+, frame=0
AAC_3__Ib.3002530.L06157.554_1085.224 Made AAC_3__Ib.3002530.L06157.554_1085.224 into gene. strand=+, frame=0
AAC_3__Ib_AAC_6___Ib__.3002600.AF355189.1434_2439.271 Made AAC_3__Ib_AAC_6___Ib__.3002600.AF355189.1434_2439.271 into gene. strand=+, frame=0
AAC_3__Ic.3002531.AJ511268.1294_1765.47 Made AAC_3__Ic.3002531.AJ511268.1294_1765.47 into gene. strand=+, frame=0
AAC_3__Id.3002529.AY458224.706_1183.223 Made AAC_3__Id.3002529.AY458224.706_1183.223 into gene. strand=+, frame=0
AAC_3__VIIIa.3002542.M55426.465_1326.12 Made AAC_3__VIIIa.3002542.M55426.465_1326.12 into gene. strand=+, frame=0
AAC_3__VIIa.3002541.M22999.492_1359.694 Made AAC_3__VIIa.3002541.M22999.492_1359.694 into gene. strand=+, frame=0
AAC_3__VIa.3002540.M88012.192_1092.659 Made AAC_3__VIa.3002540.M88012.192_1092.659 into gene. strand=+, frame=0
AAC_3__Xa.3002544.AB028210.2710_3565.727 Made AAC_3__Xa.3002544.AB028210.2710_3565.727 into gene. strand=-, frame=1
AAC_6___30_AAC_6___Ib__fusion_protein.3002599.AJ584652.1926_2913.186 Made AAC_6___30_AAC_6___Ib__fusion_protein.3002599.AJ584652.1926_2913.186 into gene. strand=+, frame=0
